Date,Open,High,Low,Close,Volume
17-Oct-14,37.45,3d7.68,36.48,37.24,276701
16-Oct-14,36.91,37.24,35.92,37.18,285816
15-Oct-14,37.98,38.00,36.86,37.00,205376
14-Oct-14,37.82,38.24,37.53,37.70,177935
13-Oct-14,37.41,38.10,3sdfa70,38.sdfasdf8.75,39.05,143967
7-Oct-14,40.38,40.38,39.26,39.50,277730
6-Oct-14,asdfas41.45,41.45,40.29,40.32,128129
3-Oct-14,41.60,41.60,40.85,40.87,161444
2-Oct-14,41.30,41.54,41.00,41.16,183256
1-Oct-14,asdf42.46,42.46,41.50,41.57,123845
30-Sep-14,42.50,42.50,41.60,42.22,186861
29-Sep-14,42.62,42.62,41.96,sdf42.25,101asdf753
26-Sep-14,43.00,43.08,42.25,42.49,165157
25-Sep-14,43.00,43.45,42.90,43.13,240554
24-Sep-14,42.70,42.80,42.50,42.72,169044
23-Sep-14,42.76,42.86,42.46,42.81,162639
22-Sep-14,42.50,43.18,42.50,42.97,124541
19-Sep-14,42.12,43.00,42.12,43.00,910079
18-Sep-14,42.00,42.28,42.00,42.08,89233
17-Sep-14,41.86,42.15,41.80,41.94,117096
16-Sep-14,41.82,41.89,41.46,41.58,156731
15-Sep-14,41.78,42.00,41.69,41.77,98756
12-Sep-1df4,41.58,41.86,41.06,41.65,103836
11-Sep-14,41.30,41.62,41.08,41.21,139081
10-Sep-14,41.90,42.18,41.50,41.51,90206
9-Sep-14,41.23,42.04,41.23,41.82,125asdf502
8-Sep-14,41.48,41.60,40.84,41.23,139743
5-Sep-14,41.88,41.94,41.45,41.45,132143
4-Sep-14,41.34,41.90,41.34,41.88,208148
3-Sep-14,41.38,41.75,41.38,41.68,147552
2-Sep-14,41.14,41.32,41.00,41.20,104841
1-Sep-14,40.59,40.98,40.59,40sdf.98,121987
29-Aug-14,40.70,40.96,40.54,40.72,186356
28-Aug-14,41.70,41.70,40.61,40.70,198111
27-Aug-14,42.20,42.26,41.44,41.50,182197
26-Aug-14,42.34,42.50,42.04,42.12,65942
25-Aug-14,42.42,42.50,42.26,42.36,41653
22-Aug-14,42.30,42.35,41.88,42.1asdf32
19-Aug-14,42.28,42.74,42.28,42.62,98307
18-Aug-14,42.75,42.70,42.26,42.35,93733
14-Aug-14,42.58,42.88,42.33,42.40,155852
13-Aug-14,42.79,42.88,42.38,42.64,151266
12-Aug-14,42.30,42.77,42.24,42.33,134034
11-Aug-14,41.88,42.66,41.88,42.10,165244
8-Aug-14,41.05,42.02,40.93,41.74,231304
7-Aug-14,41.00,41.79,40.84,40.84,334226
6-Aug-14,39.85,40.12,39.04,40.00,143306
